thiswell,hiswell,Reward,match,session,rat,prefer,switch
1,NaN,0,0,1,108,0,0
2,2,1,1,1,108,1,0
3,1,0,0,1,108,0,0
2,1,0,0,1,108,0,0
2,2,1,1,1,108,1,0
2,2,1,1,1,108,1,0
1,1,1,1,1,108,1,0
2,2,1,1,1,108,1,0
1,1,1,1,1,108,1,0
2,2,1,1,1,108,1,0
2,2,1,1,1,108,1,0
1,1,1,1,1,108,1,0
1,1,1,1,1,108,1,0
1,1,1,1,1,108,1,0
1,1,1,1,1,108,1,0
2,2,1,1,1,108,1,0
2,2,1,1,1,108,1,0
1,3,1,1,1,108,0,0
2,2,1,1,1,108,1,0
1,1,1,1,1,108,1,0
2,2,1,1,1,108,1,0
1,1,1,1,1,108,1,0
2,2,1,1,1,108,1,0
1,1,1,1,1,108,1,0
1,NaN,0,0,2,108,0,0
2,2,1,1,2,108,1,0
3,3,1,1,2,108,1,0
2,2,0,1,2,108,1,0
1,1,0,1,2,108,1,0
2,2,0,1,2,108,1,0
3,3,1,1,2,108,1,0
2,2,0,1,2,108,1,0
1,1,1,1,2,108,1,0
3,2,0,0,2,108,0,0
2,1,0,0,2,108,0,0
1,1,0,0,2,108,1,0
2,2,1,1,2,108,1,0
1,1,0,1,2,108,1,0
1,1,0,0,2,108,1,0
3,1,0,0,2,108,0,0
2,1,0,0,2,108,0,0
1,1,0,0,2,108,1,0
2,3,0,0,2,108,0,0
3,1,0,0,2,108,0,0
2,2,0,0,2,108,1,0
1,1,0,1,2,108,1,0
2,3,0,0,2,108,0,0
1,3,0,0,2,108,0,0
3,1,0,0,2,108,0,0
2,1,0,0,2,108,0,0
1,3,0,0,2,108,0,0
1,1,0,0,2,108,1,0
1,2,0,0,2,108,0,0
3,3,0,0,2,108,1,0
1,2,0,0,3,108,0,0
3,1,0,0,3,108,0,0
2,3,0,0,3,108,0,0
2,1,0,0,3,108,0,0
2,2,0,1,3,108,1,0
2,3,0,0,3,108,0,0
1,1,0,1,3,108,1,0
2,2,0,1,3,108,1,0
2,2,0,0,3,108,1,0
