thiswell,hiswell,Reward,match,session,rat,prefer,Switch
1,NaN,1,1,1,102,0,0
3,1,0,0,1,102,0,1
1,2,0,0,1,102,0,0
2,3,0,0,1,102,0,0
3,3,1,1,1,102,1,1
1,3,0,0,1,102,0,1
2,3,0,0,1,102,0,0
3,1,0,0,1,102,0,0
1,1,1,1,1,102,1,1
1,1,0,1,1,102,1,0
2,3,0,0,1,102,0,1
3,3,1,1,1,102,1,1
2,3,0,0,1,102,0,1
1,1,0,0,1,102,1,0
2,2,1,1,1,102,1,1
3,3,0,1,1,102,1,0
1,2,0,0,1,102,0,1
2,2,0,1,1,102,1,1
1,1,1,1,1,102,1,0
2,2,0,1,1,102,1,0
2,2,0,0,1,102,1,1
1,2,0,0,1,102,0,0
2,2,0,0,1,102,1,0
1,1,0,0,1,102,1,0
1,3,0,0,1,102,0,0
2,3,0,0,1,102,0,0
3,3,1,1,1,102,1,1
2,3,0,0,1,102,0,1
3,3,0,0,1,102,1,0
1,1,0,1,1,102,1,1
2,2,1,1,1,102,1,0
2,2,0,0,1,102,1,1
3,3,1,1,1,102,1,1
1,2,0,0,1,102,0,1
2,2,1,1,1,102,1,1
1,2,0,0,1,102,0,1
3,2,1,1,1,102,0,1
1,2,0,0,1,102,0,1
2,2,0,1,1,102,1,1
2,2,0,1,1,102,1,0
2,3,0,0,1,102,0,1
3,3,1,1,1,102,1,1
2,2,1,1,1,102,1,0
2,2,0,1,1,102,1,0
3,3,1,1,1,102,1,0
1,1,0,1,1,102,1,0
3,1,0,0,1,102,0,1
1,1,0,0,1,102,1,0
2,2,1,1,1,102,1,1
2,2,0,0,1,102,1,1
2,3,0,0,1,102,0,0
3,3,0,0,1,102,1,0
2,1,0,0,1,102,0,0
1,1,1,1,1,102,1,1
2,2,0,1,1,102,1,0
1,2,0,0,1,102,0,1
2,2,0,0,1,102,1,0
3,3,0,0,1,102,1,0
2,2,0,1,1,102,1,1
2,2,0,0,1,102,1,1
1,3,0,0,1,102,0,0
3,3,1,1,2,102,1,1
1,1,1,1,2,102,1,0
2,3,0,0,2,102,0,1
3,3,0,1,2,102,1,1
1,1,0,1,2,102,1,0
3,3,0,1,2,102,1,0
1,1,0,1,2,102,1,0
1,1,0,0,2,102,1,1
2,3,0,0,2,102,0,0
3,3,0,0,2,102,1,0
1,1,0,1,2,102,1,1
1,1,0,0,2,102,1,1
3,3,0,1,2,102,1,1
3,2,0,0,2,102,0,1
1,2,0,0,2,102,0,0
3,2,0,0,2,102,0,0
1,1,0,0,2,102,1,0
3,3,0,0,2,102,1,0
1,2,0,0,2,102,0,0
2,3,0,0,2,102,0,0
3,1,0,0,2,102,0,0
1,1,0,0,2,102,1,0
3,3,0,1,2,102,1,1
3,3,0,0,2,102,1,1
2,NaN,1,1,3,102,0,1
1,3,0,0,3,102,0,1
2,2,0,1,3,102,1,1
3,3,1,1,3,102,1,0
1,2,0,0,3,102,0,1
2,3,0,0,3,102,0,0
3,3,0,1,3,102,1,1
2,2,1,1,3,102,1,0
1,3,0,0,3,102,0,1
2,2,0,1,3,102,1,1
3,3,1,1,3,102,1,0
1,2,0,0,3,102,0,1
2,3,0,0,3,102,0,0
1,2,0,0,3,102,0,0
2,2,1,1,3,102,1,1
1,3,0,1,3,102,0,0
1,1,0,1,3,102,1,0
1,1,0,0,3,102,1,1
3,3,1,1,3,102,1,1
2,3,0,0,3,102,0,1
3,3,0,0,3,102,1,0
1,1,0,1,3,102,1,1
2,3,0,0,3,102,0,1
2,2,1,1,3,102,1,1
3,3,1,1,3,102,1,0
1,2,0,0,3,102,0,1
2,2,0,1,3,102,1,1
3,3,0,1,3,102,1,0
2,2,0,1,3,102,1,0
2,2,0,1,3,102,1,0
3,3,1,1,3,102,1,0
1,2,0,0,3,102,0,1
2,3,0,0,3,102,0,0
3,3,0,1,3,102,1,1
1,1,1,1,3,102,1,0
2,3,0,0,3,102,0,1
3,3,1,1,3,102,1,1
3,3,1,1,3,102,1,0
2,2,1,1,3,102,1,0
3,3,0,1,3,102,1,0
1,2,0,0,3,102,0,1
2,3,0,0,3,102,0,0
3,3,0,0,3,102,1,0
2,3,0,0,3,102,0,0
3,3,0,1,3,102,1,1
1,2,0,0,3,102,0,1
2,2,1,1,3,102,1,1
2,NaN,1,1,4,102,0,0
1,3,0,0,4,102,0,1
2,3,0,0,4,102,0,0
3,3,0,0,4,102,1,0
2,2,1,1,4,102,1,1
3,3,1,1,4,102,1,0
1,2,0,0,4,102,0,1
2,2,1,1,4,102,1,1
3,3,0,1,4,102,1,0
1,1,1,1,4,102,1,0
2,2,0,1,4,102,1,0
1,2,0,0,4,102,0,1
2,2,0,0,4,102,1,0
3,3,1,1,4,102,1,1
2,3,0,0,4,102,0,1
3,3,0,1,4,102,1,1
1,1,0,1,4,102,1,0
3,3,0,1,4,102,1,0
1,1,1,1,4,102,1,0
2,3,0,0,4,102,0,1
3,3,1,1,4,102,1,1
1,1,1,1,4,102,1,0
2,2,0,1,4,102,1,0
3,3,1,1,4,102,1,0
3,3,1,1,4,102,1,0
1,1,1,1,4,102,1,0
3,3,0,1,4,102,1,0
1,1,1,1,4,102,1,0
3,1,0,0,4,102,0,1
1,1,0,1,4,102,1,1
3,3,0,1,4,102,1,0
